"","LocationAbbr","Income","perc_strength","propstrength","adjstrength","perc_cardio","propcardio","adjcardio","perc_obese","prop_obese","adjobese","perc_excer","prop_excer","adjexcer","perc_fruit","prop_fruit","adjfruit","perc_veg","prop_veg","adjveg"
"50","FL","$75,000 or greater",41,0.33124426780801,13.5810149801284,60.4,0.331157731157731,20.001926961927,24,0.327576197387518,7.86182873730043,30.4,0.332443467336683,10.1062814070352,35.6,0.329660377358491,11.7359094339623,14.9,0.332567049808429,4.95524904214559
"51","GA","$15,000 - $24,999",24.8,0.217864205669084,5.40303230059328,38.8,0.217680292455965,8.44599534729146,37.1,0.220209723546234,8.1697807435653,14,0.216252518468771,3.02753525856279,45.9,0.217990807616546,10.0057780695995,30.9,0.216323822163238,6.68440610484406
"52","GA","$25,000 - $34,999",27,0.123928806855636,3.34607778510218,50.7,0.125290794283815,6.35224327018943,30.8,0.125834127740705,3.87569113441373,18.1,0.124916051040967,2.2609805238415,47.4,0.123768877216021,5.8666447800394,28.8,0.124751161247512,3.59283344392833
"53","GA","$35,000 - $49,999",27.9,0.152933421226104,4.26684245220831,44.7,0.151213027583915,6.759222333001,33.8,0.152843978392119,5.16612646965364,15.3,0.151108126259234,2.31195433176629,41.7,0.152330925804334,6.35219960604071,23.7,0.151625746516257,3.5935301924353
"54","GA","$50,000 - $74,999",25.9,0.17139090309822,4.4390243902439,54.7,0.17082087072117,9.34390162844799,33.2,0.170320940578329,5.65465522720051,18.5,0.170584284754869,3.15580926796508,47.2,0.17268548916612,8.15075508864084,20.4,0.173523556735236,3.53988055739881
"55","GA","$75,000 or greater",39.9,0.333882663150956,13.3219182597231,55.3,0.334995014955135,18.5252243270189,24.6,0.330791229742612,8.13746425166826,25.6,0.337139019476158,8.63075889858966,39.5,0.33322390019698,13.1623440577807,14.9,0.333775713337757,4.97325812873258
"56","HI","$15,000 - $24,999",32.2,0.157934131736527,5.08547904191617,56.4,0.157430020665039,8.87905316550817,22.3,0.163222045574987,3.6398516163222,22.3,0.157347941065357,3.50885908575746,43,0.158194164066801,6.80234905487245,23.8,0.157140197356172,3.73993669707689
"57","HI","$25,000 - $34,999",33,0.119947604790419,3.95827095808383,53.8,0.11985722337028,6.44831861732106,23.3,0.119413531178237,2.78233527645292,21.6,0.119947109935776,2.59085757461277,39.3,0.120572582125161,4.73850247751881,21,0.119158443492832,2.50232731334947
"58","HI","$35,000 - $49,999",32.9,0.153255988023952,5.04212200598802,60.6,0.153860604922036,9.32395265827541,23.7,0.152799858682212,3.62135665076842,24.4,0.153947865508122,3.75632791839819,43.1,0.152321526885667,6.56505780877225,24.2,0.153230310929064,3.70817352448334
"59","HI","$50,000 - $74,999",31.3,0.184693113772455,5.78089446107784,53.8,0.18523389066316,9.965583317678,24.7,0.183006535947712,4.5202614379085,20.7,0.185304117869286,3.83579523989422,36.1,0.184437511469994,6.6581941640668,20.5,0.185067957549805,3.79389312977099
"60","HI","$75,000 or greater",36,0.384169161676647,13.8300898203593,60.7,0.383618260379485,23.2856284050348,21.6,0.381558028616852,8.24165341812401,26.5,0.383452965621458,10.1615035889686,40.7,0.384474215452377,15.6481005689117,16.3,0.385403090672128,6.28207037795569
"61","IA","$15,000 - $24,999",24.8,0.157204252431577,3.8986654603031,42.9,0.156099794003204,6.69668116273747,35.1,0.161900472866472,5.68270659761315,16,0.155883030163481,2.4941284826157,45.9,0.156376746282109,7.17769265434881,32.7,0.155160628844839,5.07375256322625
"62","IA","$25,000 - $34,999",22,0.119882379552138,2.63741235014703,44.6,0.119707026779583,5.33893339436942,38.7,0.120468362981311,4.66212564737672,13.6,0.118811881188119,1.61584158415842,37.4,0.118972510139703,4.44957187922488,25.1,0.118478013214855,2.97379813169287
"63","IA","$35,000 - $49,999",27.9,0.180275955666139,5.02969916308527,42.6,0.181048294804303,7.71265735866331,33.9,0.178338212114389,6.04566539067778,15.4,0.180980888786553,2.78710568731292,44.3,0.180937359170798,8.01552501126634,31.2,0.180678970152654,5.63718386876282
"64","IA","$50,000 - $74,999",27.9,0.197466636507577,5.50931915856141,50.4,0.197985809109636,9.97848477912566,38,0.196802521954515,7.47849583427156,17.2,0.197559290812802,3.3980198019802,42.4,0.198738170347003,8.42649842271293,24.8,0.199817726133516,4.95547960811119
"65","IA","$75,000 or greater",38.7,0.34517077584257,13.3581090251074,57.2,0.345159075303273,19.7430991073472,28,0.342490430083315,9.58973204233281,27.6,0.346764909049044,9.57071148975363,39.8,0.344975214060388,13.7300135196034,21.2,0.345864661654135,7.33233082706767
"66","ID","$15,000 - $24,999",24.6,0.184123222748815,4.52943127962085,47.9,0.185114045618247,8.86696278511405,35.2,0.186160298229264,6.55284249767008,16.3,0.183163512857836,2.98556525958273,40.8,0.184402161146347,7.52360817477097,23.7,0.184702817901965,4.37745678427658
"67","ID","$25,000 - $34,999",26.6,0.157109004739337,4.17909952606635,50.4,0.156542617046819,7.88974789915966,30.3,0.156104380242311,4.72996272134203,18.3,0.157205240174672,2.87685589519651,42.8,0.156213295748179,6.68592905802208,18.6,0.155576604309732,2.89372484016102
"68","ID","$35,000 - $49,999",24.3,0.185781990521327,4.51450236966825,56.8,0.183673469387755,10.4326530612245,34.5,0.183597390493942,6.33410997204101,17.1,0.184376516254246,3.1528384279476,37.6,0.185811604416256,6.98651632605121,16.2,0.184229220932986,2.98451337911437
"69","ID","$50,000 - $74,999",35.1,0.198341232227488,6.96177725118483,56.3,0.200720288115246,11.3005522208884,26.8,0.19757688723206,5.2950605778192,24.8,0.200145560407569,4.96360989810772,36.2,0.201080573173596,7.27911674888419,14,0.201278711816244,2.81790196542742
"70","ID","$75,000 or greater",36.9,0.274644549763033,10.1343838862559,62.5,0.273949579831933,17.1218487394958,22.5,0.276561043802423,6.22262348555452,28.4,0.275109170305677,7.81310043668122,35.8,0.272492365515621,9.75522668545924,12.4,0.274212645039072,3.40023679848449
"71","IL","$15,000 - $24,999",22.2,0.165311004784689,3.6699043062201,42.7,0.165585195866378,7.07048786349435,36.1,0.172557172557173,6.22931392931393,15.4,0.165139826422372,2.54315332690453,45.1,0.168124852210925,7.5824308347127,31.7,0.166189111747851,5.26819484240688
"72","IL","$25,000 - $34,999",30.6,0.108851674641148,3.33086124401914,44.6,0.109348714251382,4.87695265561163,30.1,0.109032109032109,3.28186648186648,18.9,0.109450337512054,2.06861137897782,41.9,0.107590446914164,4.50803972570348,25.7,0.107449856733524,2.76146131805158
